Customer ID,Recency,Frequency,Monetary,predicted_clv,future_spend_3m
12931,11,53,82822.08,12777.605532143403,9525.26
15769,11,39,74315.32,12533.173149451944,14389.0
13777,38,52,42861.5,11471.034493996003,13616.92
13694,16,132,177354.83,10801.334262777003,19127.98
15061,37,116,119859.38,9974.555855899547,17959.14
12748,0,259,36987.41,9802.967803149342,19611.98
15039,1,84,38630.79,9802.967803149342,1400.64
17841,1,168,53394.36,9802.967803149342,17489.71
14911,2,309,234125.25,9605.912250950783,61847.38
17949,2,106,108326.8,9605.912250950783,10301.28
13798,2,95,67844.16,9605.912250950783,7992.71
14156,2,143,295425.08,9605.912250950783,18521.29
14646,2,120,426699.12,9605.912250950783,101903.4
16013,8,72,43725.18,9546.088494964846,13721.26
18102,8,112,484615.1,9546.088494964846,124206.55
14298,8,75,80849.7,9546.088494964846,10344.79
15311,3,182,102158.74,9514.627329208452,14612.42
17511,3,50,143916.92,9514.627329208452,31686.63
16029,3,96,95488.44,9514.627329208452,26720.7
13089,9,177,101236.52,9297.813252011058,15501.34
16422,9,97,58084.77,9297.813252011058,5566.7
13408,9,85,41453.102,9297.813252011058,10280.36
14680,4,56,54081.22,9161.282270856957,3331.55
16684,42,45,114372.71,8901.139758997333,32770.06
17389,5,52,34895.08,7767.793884356239,22329.6
17675,10,62,31959.51,7075.279302592084,6300.09
12471,16,68,31256.14,6243.853219942128,8707.65
16779,16,46,29033.25,6243.853219942128,4234.99
12415,8,22,121631.72,6036.340756558722,22826.65
15856,4,42,29274.71,5759.4754179746205,4945.63
17450,4,28,138883.84,5677.137248926513,108089.25
14606,3,170,28268.6,5666.598376428298,2592.46
13078,16,46,23821.66,5597.737329252044,5710.79
12682,10,41,19965.61,5530.280943894142,4068.3
14527,8,107,24564.9,5518.1928779962245,3227.4
17920,14,46,22719.18,5443.104001965653,1797.28
12921,7,61,29417.42,5415.985373298282,6503.62
17677,9,44,32014.03,5374.664413437001,4678.88
16705,8,32,39260.411,4872.219346998564,4254.64
13316,41,8,10993.82,4635.032069774791,2197.75
14088,38,10,39052.88,4411.773499826799,24983.92
13324,112,15,7190.51,4316.108513652794,3322.96
16525,8,43,21927.54,4215.379948270424,2655.1
13767,18,64,27996.54,3939.1260398818977,7543.990000000001
15640,31,25,20361.26,3924.689364596416,3596.32
14194,15,27,12987.52,3716.854762747138,5683.07
12433,0,6,13600.62,3648.982778900897,6980.64
14895,0,31,21955.62,3648.764401665304,3163.92
12766,58,7,8030.84,3634.721301197302,2037.44
15159,22,22,12445.69,3540.3843315136805,9671.04
12621,9,30,21281.18,3460.728330482768,3494.63
17381,8,33,37988.41,3421.3085143637927,2013.96
15838,18,27,54673.42,3414.6097493597463,19489.58
16210,8,28,28652.17,3392.6692394762385,9837.34
12540,1,27,18101.11,3387.610039012675,4153.38
13881,5,34,37418.26,3346.248034434509,7760.84
