Customer ID,Recency,Frequency,Monetary,future_spend_3m
12346,235,12,77556.46,0.0
12347,39,6,4114.18,1519.14
12348,158,4,1709.4,310.0
12349,317,3,2671.14,1757.55
12350,219,1,334.4,0.0
12351,284,1,300.93,0.0
12352,171,7,1905.61,944.23
12353,113,2,406.76,0.0
12354,141,1,1079.4,0.0
12355,123,2,947.61,0.0
12356,155,5,6315.33,58.349999999999994
12357,297,2,12079.99,6207.67
12358,60,4,3203.87,683.2
12359,99,9,6059.09,2876.85
12360,22,7,3209.11,1043.78
12361,196,4,511.25,0.0
12362,29,5,1877.35,3478.88
12363,19,2,552.0,0.0
12364,21,1,623.92,689.18
12365,200,2,641.38,0.0
12366,543,1,500.24,0.0
12368,537,1,917.6999999999999,0.0
12369,322,3,1791.15,0.0
12370,184,6,3581.03,739.28
12371,318,3,2179.42,1887.96
12372,122,2,914.9200000000001,383.12
12373,220,3,1127.65,0.0
12374,330,3,2246.29,742.9300000000001
12375,7,1,230.3,227.20000000000002
12376,299,2,503.15,0.0
12377,224,4,3426.32,0.0
12378,39,2,5416.32,0.0
12379,79,3,1227.82,392.40000000000003
12380,95,8,7559.04,2117.26
12381,29,1,1268.74,576.57
12383,94,5,1850.56,0.0
12384,31,1,292.69,292.58
12385,288,1,1938.4,0.0
12386,247,2,660.8,0.0
12387,324,1,143.94,0.0
12388,57,6,2788.79,1112.3200000000002
12389,312,3,1433.33,0.0
12391,374,5,2312.53,460.89
12392,500,1,234.75000000000003,0.0
12393,155,5,1877.95,521.5
12394,126,1,381.08,891.4
12395,21,11,3948.21,1119.06
12396,583,1,931.43,0.0
12397,44,1,1214.81,1195.09
12399,28,7,1962.3,0.0
12400,323,1,205.25,0.0
12401,212,1,84.3,0.0
12402,232,6,1256.9,0.0
12403,431,1,591.6600000000001,427.7
12404,591,1,63.24,0.0
12405,58,1,1710.39,0.0
12406,93,4,4596.31,1794.05
12407,43,4,1407.3600000000001,300.76
12408,8,7,3586.27,754.5
12409,92,5,18553.7,4865.59
12410,218,3,1013.71,0.0
12411,319,1,346.9,0.0
12412,47,5,2260.79,336.14
12413,145,3,805.25,194.20000000000002
12414,126,6,952.41,0.0
12415,8,22,121631.72,22826.649999999998
12416,566,1,202.56,0.0
12417,16,18,5984.33,832.58
12418,22,4,2021.2,0.0
12419,295,2,503.01,0.0
12421,24,5,920.12,178.48
12422,5,17,5231.8,0.0
12423,10,9,2413.75,208.64000000000001
12424,72,4,3340.03,0.0
12425,357,1,964.21,777.2
12426,104,2,1345.21,0.0
12427,281,1,607.0,522.3
12428,29,8,7548.12,408.34000000000003
12429,82,7,6580.39,905.52
12431,28,23,9245.09,1612.88
12432,79,3,4016.66,1042.66
12433,0,6,13600.62,6980.64
12434,169,2,583.54,519.89
12435,177,5,10075.03,3850.9
12436,9,1,509.01,0.0
12437,7,32,10543.4,2140.0
12438,49,1,890.0699999999999,2016.78
12439,592,2,1158.18,0.0
12440,371,2,859.2,0.0
12441,276,1,347.1,0.0
12443,641,1,485.31,0.0
12444,31,2,2627.27,2378.19
12445,330,1,301.58000000000004,133.4
12447,152,1,476.49,0.0
12449,1,5,3493.18,1342.71
12450,65,5,688.2,0.0
12451,127,5,8942.18,3727.7
12453,43,1,707.09,0.0
12454,305,4,13151.44,3528.34
12455,37,9,5589.45,290.5
12456,40,2,2265.4,915.64
12457,143,4,1699.93,1295.98
12458,194,3,1272.01,505.48
12459,514,1,454.36,0.0
12460,365,1,326.65,0.0
12461,3,2,826.88,0.0
12462,212,1,762.11,427.48
12463,84,3,985.79,358.99
12464,15,6,780.55,431.5
12465,78,1,440.94,301.25
12466,591,1,56.73,0.0
12467,332,1,132.8,0.0
12468,97,5,3670.74,0.0
12469,432,2,3070.54,0.0
12470,599,1,211.95,0.0
12471,16,68,31256.14,8707.65
12472,48,17,16236.08,1644.51
12473,24,2,1186.25,2752.2999999999997
12474,8,26,9410.72,3013.73
12475,319,1,426.26,723.38
12476,50,18,10490.66,3624.75
12477,10,6,15890.66,4385.71
12480,52,6,4328.17,1136.6799999999998
12481,89,13,10866.83,1494.56
12482,485,29,23691.4,0.0
12483,8,17,4259.66,860.9200000000001
12484,10,10,5491.58,878.57
12485,438,1,708.1,0.0
12486,341,1,1037.28,0.0
12487,640,1,285.29999999999995,0.0
12489,245,1,334.93,0.0
12490,2,17,7958.3,1865.3400000000001
12492,14,2,578.39,136.82
12493,75,2,433.74,0.0
12494,71,7,1495.63,377.24
12495,550,1,357.4,0.0
12496,529,2,54.09,0.0
12497,310,2,5205.400000000001,1043.1
12499,469,1,393.72,0.0
12500,16,14,3471.23,2483.98
12501,246,1,2169.39,0.0
12502,5,5,3723.87,0.0
12503,493,1,1126.0,0.0
12504,326,2,297.0,482.04999999999995
12505,318,1,955.2,0.0
12506,142,1,73.5,0.0
12507,43,4,1844.06,0.0
12509,193,1,176.5,0.0
12510,52,9,5178.02,0.0
12511,338,1,3084.02,0.0
12513,22,1,612.29,0.0
12514,176,2,1597.76,0.0
12515,262,1,383.7,0.0
12516,90,3,1919.76,728.86
12517,35,2,1538.7,964.14
12518,19,1,324.83,1732.06
12519,386,1,385.7,340.84
12520,51,4,2045.85,588.41
12521,52,1,599.68,0.0
12523,17,19,3600.13,772.02
12524,71,15,9762.869999999999,1363.24
12525,407,3,973.73,0.0
12526,3,1,520.3,796.36
12527,204,4,671.72,63.790000000000006
12528,24,4,1287.37,646.11
12529,437,1,316.48,0.0
12530,33,8,3318.63,440.63
12531,595,1,1807.98,125.22
12533,537,2,1367.89,0.0
12534,40,1,1089.18,0.0
12535,1,2,716.35,0.0
12537,318,1,732.94,0.0
12538,287,1,276.5,363.95
12539,171,6,10164.09,1050.66
12540,1,27,18101.11,4153.38
12541,82,2,536.14,445.03999999999996
12542,393,2,481.88,0.0
12543,357,1,980.25,0.0
12545,169,1,628.15,372.24
12547,107,3,383.58,0.0
12548,75,1,95.19999999999999,0.0
12549,485,6,1575.68,0.0
12551,267,1,168.0,0.0
12553,19,9,3336.06,1272.69
12554,358,1,468.5,0.0
12555,591,1,129.23,0.0
12556,60,1,312.9,290.81
12557,67,7,15726.14,2990.0
12559,220,2,561.71,0.0
12560,21,2,1436.31,697.7
12561,212,1,238.85,0.0
12562,36,5,2790.41,2176.51
12563,318,1,249.24,0.0
12564,170,1,456.9,0.0
12565,198,1,145.92,0.0
12567,5,14,12158.56,1551.3
12568,554,1,70.0,0.0
12569,1,15,2167.68,1957.01
12570,591,1,77.52,0.0
12571,31,1,248.35,271.26
12573,136,5,717.41,0.0
12574,225,1,218.45,0.0
