Customer ID,Recency,Frequency,Monetary,future_spend_3m,future_spend_3m_log
12346,235,34,77556.46,0.0,0.0
12347,39,195,4114.18,1519.14,7.326557714862051
12348,158,48,1709.4,310.0,5.739792912179234
12349,317,102,2671.14,1757.55,7.472244884833674
12350,219,17,334.4,0.0,0.0
12351,284,21,300.93,0.0,0.0
12352,171,56,1905.61,944.23,6.851428284123502
12353,113,24,406.76,0.0,0.0
12354,141,58,1079.4,0.0,0.0
12355,123,35,947.61,0.0,0.0
12356,155,141,6315.33,58.35,4.083452121055677
12357,297,165,12079.99,6207.67,8.733701981297274
12358,60,70,3203.87,683.2,6.528250272543504
12359,99,260,6059.09,2876.85,7.964798766561594
12360,22,163,3209.11,1043.78,6.9515616159193465
12361,196,29,511.25,0.0,0.0
12362,29,106,1877.35,3478.88,8.154753089415355
12363,19,23,552.0,0.0,0.0
12364,21,34,623.92,689.18,6.536952433135974
12365,200,22,641.38,0.0,0.0
12366,543,3,500.24,0.0,0.0
12368,537,18,917.7,0.0,0.0
12369,322,93,1791.15,0.0,0.0
12370,184,174,3581.03,739.28,6.6070284930095475
12371,318,104,2179.42,1887.96,7.543781692052325
12372,122,39,914.92,383.12,5.950955003769772
12373,220,51,1127.65,0.0,0.0
12374,330,50,2246.29,742.9300000000001,6.6119469443852195
12375,7,11,230.3,227.2,5.430222437427975
12376,299,13,503.15,0.0,0.0
12377,224,152,3426.32,0.0,0.0
12378,39,301,5416.32,0.0,0.0
12379,79,61,1227.82,392.4,5.974826905954958
12380,95,209,7559.04,2117.26,7.658350275945514
12381,29,62,1268.74,576.57,6.358829647171565
12383,94,99,1850.56,0.0,0.0
12384,31,14,292.69,292.58,5.682150174529087
12385,288,65,1938.4,0.0,0.0
12386,247,18,660.8,0.0,0.0
12387,324,9,143.94,0.0,0.0
12388,57,116,2788.79,1112.3200000000002,7.015101821183019
12389,312,49,1433.33,0.0,0.0
12391,374,181,2312.53,460.89,6.1353267674944725
12392,500,7,234.75000000000003,0.0,0.0
12393,155,82,1877.95,521.5,6.258624983838966
12394,126,21,381.08,891.4,6.793914462558377
12395,21,194,3948.21,1119.06,7.021137534282814
12396,583,65,931.43,0.0,0.0
12397,44,70,1214.81,1195.09,7.086813182515495
12399,28,110,1962.3,0.0,0.0
12400,323,11,205.25,0.0,0.0
12401,212,5,84.3,0.0,0.0
12402,232,70,1256.9,0.0,0.0
12403,431,4,591.6600000000001,427.7,6.0607573736039315
12404,591,1,63.24,0.0,0.0
12405,58,54,1710.39,0.0,0.0
12406,93,110,4596.31,1794.05,7.492788155687635
12407,43,64,1407.36,300.76,5.709631999445093
12408,8,136,3586.27,754.5,6.627379781712794
12409,92,219,18553.7,4865.59,8.490148765479574
12410,218,40,1013.71,0.0,0.0
12411,319,22,346.9,0.0,0.0
12412,47,111,2260.79,336.14,5.820498274352162
12413,145,41,805.25,194.2,5.274024673978992
12414,126,28,952.41,0.0,0.0
12415,8,812,121631.72,22826.65,10.0357277994907
