Customer ID,Recency,Frequency,Monetary,purchase_next_3m,purchase_probability
12346,235,12,77556.46,0.0,0.1861207579162936
12347,39,6,4114.18,1.0,0.6892942583587022
12348,158,4,1709.4,1.0,0.6822130033697711
12349,317,3,2671.14,1.0,0.7013363969264375
12350,219,1,334.4,0.0,0.06890141671031036
12351,284,1,300.93,0.0,0.29437474040761524
12352,171,7,1905.61,1.0,0.6869369716115972
12353,113,2,406.76,0.0,0.35284036200280405
12354,141,1,1079.4,0.0,0.1773354568268002
12355,123,2,947.61,0.0,0.2837979871052165
12356,155,5,6315.33,1.0,0.7682538923703566
12357,297,2,12079.99,1.0,0.9104580283409542
12358,60,4,3203.87,1.0,0.4492823811187041
12359,99,9,6059.09,1.0,0.8253860057869338
12360,22,7,3209.11,1.0,0.8081421878851843
12361,196,4,511.25,0.0,0.34031877034754965
12362,29,5,1877.35,1.0,0.691867447022783
12363,19,2,552.0,0.0,0.567803095822529
12364,21,1,623.92,1.0,0.7320690159260952
12365,200,2,641.38,0.0,0.40344810887489213
12366,543,1,500.24,0.0,0.02969248199106137
12368,537,1,917.7,0.0,0.02676563525735402
12369,322,3,1791.15,0.0,0.2812018936953098
12370,184,6,3581.03,1.0,0.6757756710489882
12371,318,3,2179.42,1.0,0.7756854949939604
12372,122,2,914.92,1.0,0.46586498244659336
12373,220,3,1127.65,0.0,0.24643124575612269
12374,330,3,2246.29,1.0,0.5106286423978075
12375,7,1,230.3,1.0,0.7497732142076
12376,299,2,503.15,0.0,0.314218762640501
12377,224,4,3426.32,0.0,0.2569762914043289
12378,39,2,5416.32,0.0,0.34959586135741255
12379,79,3,1227.82,1.0,0.5312366850786062
12380,95,8,7559.04,1.0,0.928398373019398
12381,29,1,1268.74,1.0,0.7080943387276336
12383,94,5,1850.56,0.0,0.7250574546806718
12384,31,1,292.69,1.0,0.6734586476864973
12385,288,1,1938.4,0.0,0.30903670590753796
12386,247,2,660.8,0.0,0.3869155112636279
12387,324,1,143.94,0.0,0.5599592278133361
12388,57,6,2788.79,1.0,0.7228769145979993
12389,312,3,1433.33,0.0,0.28290738671154986
12391,374,5,2312.53,1.0,0.5645667872485453
12392,500,1,234.75000000000003,0.0,0.022784878006562616
12393,155,5,1877.95,1.0,0.7348084612837251
12394,126,1,381.08,1.0,0.3523840937279777
12395,21,11,3948.21,1.0,0.8247353470817512
12396,583,1,931.43,0.0,0.021909703327032258
12397,44,1,1214.81,1.0,0.6577147052200918
12399,28,7,1962.3,0.0,0.45215593767151163
12400,323,1,205.25,0.0,0.35665448285129453
12401,212,1,84.3,0.0,0.18068991873038084
12402,232,6,1256.9,0.0,0.4425383790318217
12403,431,1,591.6600000000001,1.0,0.6200469685108795
12404,591,1,63.24,0.0,0.00449657359283883
12405,58,1,1710.39,0.0,0.279174860222972
12406,93,4,4596.31,1.0,0.759478371737572
12407,43,4,1407.36,1.0,0.5243508553282559
12408,8,7,3586.27,1.0,0.8516832434209614
12409,92,5,18553.7,1.0,0.8872466642545356
12410,218,3,1013.71,0.0,0.14605698404715095
12411,319,1,346.9,0.0,0.2320810546169329
12412,47,5,2260.79,1.0,0.8189120174466906
12413,145,3,805.25,1.0,0.35653564045342323
12414,126,6,952.41,0.0,0.1293837603230415
12415,8,22,121631.72,1.0,0.9925040982742983
12416,566,1,202.56,0.0,0.014443123707359624
12417,16,18,5984.33,1.0,0.9769651374537343
12418,22,4,2021.2,0.0,0.42611018522110555
12419,295,2,503.01,0.0,0.3027850150693952
12421,24,5,920.12,1.0,0.8101753990507912
12422,5,17,5231.8,0.0,0.9939530742508068
12423,10,9,2413.75,1.0,0.9213392212867901
12424,72,4,3340.03,0.0,0.5091124376578251
12425,357,1,964.21,1.0,0.4394854613204367
12426,104,2,1345.21,0.0,0.25625364505327153
12427,281,1,607.0,1.0,0.6371999212721028
12428,29,8,7548.12,1.0,0.9051674299555004
12429,82,7,6580.39,1.0,0.8243984175334171
12431,28,23,9245.09,1.0,0.8888159064128272
12432,79,3,4016.66,1.0,0.4567576218044287
12433,0,6,13600.62,1.0,0.9526558993282337
12434,169,2,583.54,1.0,0.5548327256851618
12435,177,5,10075.03,1.0,0.7712918357880493
12436,9,1,509.01,0.0,0.8648728384052993
12437,7,32,10543.4,1.0,0.9966176076083075
12438,49,1,890.0699999999999,1.0,0.8295059084116123
12439,592,2,1158.18,0.0,0.06186080271648155
12440,371,2,859.2,0.0,0.13768781870950847
12441,276,1,347.1,0.0,0.20498872685835554
12443,641,1,485.31,0.0,0.08759456197331825
12444,31,2,2627.27,1.0,0.6601554099929184
12445,330,1,301.58000000000004,1.0,0.4404850336685944
12447,152,1,476.49,0.0,0.24701935248549972
12449,1,5,3493.18,1.0,0.7381504538866802
12450,65,5,688.2,0.0,0.37082280239751797
12451,127,5,8942.18,1.0,0.7726471872816831
12453,43,1,707.09,0.0,0.5134705163740324
12454,305,4,13151.44,1.0,0.9013830358453676
12455,37,9,5589.45,1.0,0.8335580693124001
12456,40,2,2265.4,1.0,0.40837551417140344
12457,143,4,1699.93,1.0,0.6179380796242057
