Customer ID,Recency,Frequency,Monetary,purchase_next_3m
12346,235,12,77556.46,0.0
12347,39,6,4114.18,1.0
12348,158,4,1709.4,1.0
12349,317,3,2671.14,1.0
12350,219,1,334.4,0.0
12351,284,1,300.93,0.0
12352,171,7,1905.61,1.0
12353,113,2,406.76,0.0
12354,141,1,1079.4,0.0
12355,123,2,947.61,0.0
12356,155,5,6315.33,1.0
12357,297,2,12079.99,1.0
12358,60,4,3203.87,1.0
12359,99,9,6059.09,1.0
12360,22,7,3209.11,1.0
12361,196,4,511.25,0.0
12362,29,5,1877.35,1.0
12363,19,2,552.0,0.0
12364,21,1,623.92,1.0
12365,200,2,641.38,0.0
12366,543,1,500.24,0.0
12368,537,1,917.6999999999999,0.0
12369,322,3,1791.15,0.0
12370,184,6,3581.03,1.0
12371,318,3,2179.42,1.0
12372,122,2,914.9200000000001,1.0
12373,220,3,1127.65,0.0
12374,330,3,2246.29,1.0
12375,7,1,230.3,1.0
12376,299,2,503.15,0.0
12377,224,4,3426.32,0.0
12378,39,2,5416.32,0.0
12379,79,3,1227.82,1.0
12380,95,8,7559.04,1.0
12381,29,1,1268.74,1.0
12383,94,5,1850.56,0.0
12384,31,1,292.69,1.0
12385,288,1,1938.4,0.0
12386,247,2,660.8,0.0
12387,324,1,143.94,0.0
12388,57,6,2788.79,1.0
12389,312,3,1433.33,0.0
12391,374,5,2312.53,1.0
12392,500,1,234.75000000000003,0.0
12393,155,5,1877.95,1.0
12394,126,1,381.08,1.0
12395,21,11,3948.21,1.0
12396,583,1,931.43,0.0
12397,44,1,1214.81,1.0
12399,28,7,1962.3,0.0
12400,323,1,205.25,0.0
12401,212,1,84.3,0.0
12402,232,6,1256.9,0.0
12403,431,1,591.6600000000001,1.0
12404,591,1,63.24,0.0
12405,58,1,1710.39,0.0
12406,93,4,4596.31,1.0
12407,43,4,1407.3600000000001,1.0
12408,8,7,3586.27,1.0
12409,92,5,18553.7,1.0
12410,218,3,1013.71,0.0
12411,319,1,346.9,0.0
12412,47,5,2260.79,1.0
12413,145,3,805.25,1.0
12414,126,6,952.41,0.0
12415,8,22,121631.72,1.0
12416,566,1,202.56,0.0
12417,16,18,5984.33,1.0
12418,22,4,2021.2,0.0
12419,295,2,503.01,0.0
12421,24,5,920.12,1.0
12422,5,17,5231.8,0.0
12423,10,9,2413.75,1.0
12424,72,4,3340.03,0.0
12425,357,1,964.21,1.0
12426,104,2,1345.21,0.0
12427,281,1,607.0,1.0
12428,29,8,7548.12,1.0
12429,82,7,6580.39,1.0
12431,28,23,9245.09,1.0
12432,79,3,4016.66,1.0
12433,0,6,13600.62,1.0
12434,169,2,583.54,1.0
12435,177,5,10075.03,1.0
12436,9,1,509.01,0.0
12437,7,32,10543.4,1.0
12438,49,1,890.0699999999999,1.0
12439,592,2,1158.18,0.0
12440,371,2,859.2,0.0
12441,276,1,347.1,0.0
12443,641,1,485.31,0.0
12444,31,2,2627.27,1.0
12445,330,1,301.58000000000004,1.0
12447,152,1,476.49,0.0
12449,1,5,3493.18,1.0
12450,65,5,688.2,0.0
12451,127,5,8942.18,1.0
12453,43,1,707.09,0.0
12454,305,4,13151.44,1.0
12455,37,9,5589.45,1.0
12456,40,2,2265.4,1.0
12457,143,4,1699.93,1.0
12458,194,3,1272.01,1.0
12459,514,1,454.36,0.0
12460,365,1,326.65,0.0
12461,3,2,826.88,0.0
12462,212,1,762.11,1.0
12463,84,3,985.79,1.0
12464,15,6,780.55,1.0
12465,78,1,440.94,1.0
12466,591,1,56.73,0.0
12467,332,1,132.8,0.0
12468,97,5,3670.74,0.0
12469,432,2,3070.54,0.0
12470,599,1,211.95,0.0
12471,16,68,31256.14,1.0
12472,48,17,16236.08,1.0
12473,24,2,1186.25,1.0
12474,8,26,9410.72,1.0
12475,319,1,426.26,1.0
12476,50,18,10490.66,1.0
12477,10,6,15890.66,1.0
12480,52,6,4328.17,1.0
12481,89,13,10866.83,1.0
12482,485,29,23691.4,0.0
12483,8,17,4259.66,1.0
12484,10,10,5491.58,1.0
12485,438,1,708.1,0.0
12486,341,1,1037.28,0.0
12487,640,1,285.29999999999995,0.0
12489,245,1,334.93,0.0
12490,2,17,7958.3,1.0
12492,14,2,578.39,1.0
12493,75,2,433.74,0.0
12494,71,7,1495.63,1.0
12495,550,1,357.4,0.0
12496,529,2,54.09,0.0
12497,310,2,5205.400000000001,1.0
12499,469,1,393.72,0.0
12500,16,14,3471.23,1.0
12501,246,1,2169.39,0.0
12502,5,5,3723.87,0.0
12503,493,1,1126.0,0.0
12504,326,2,297.0,1.0
12505,318,1,955.2,0.0
12506,142,1,73.5,0.0
12507,43,4,1844.06,0.0
12509,193,1,176.5,0.0
12510,52,9,5178.02,0.0
12511,338,1,3084.02,0.0
12513,22,1,612.29,0.0
12514,176,2,1597.76,0.0
12515,262,1,383.7,0.0
12516,90,3,1919.76,1.0
12517,35,2,1538.7,1.0
12518,19,1,324.83,1.0
12519,386,1,385.7,1.0
12520,51,4,2045.85,1.0
12521,52,1,599.68,0.0
12523,17,19,3600.13,1.0
12524,71,15,9762.869999999999,1.0
12525,407,3,973.73,0.0
12526,3,1,520.3,1.0
12527,204,4,671.72,1.0
12528,24,4,1287.37,1.0
12529,437,1,316.48,0.0
12530,33,8,3318.63,1.0
12531,595,1,1807.98,1.0
12533,537,2,1367.89,0.0
12534,40,1,1089.18,0.0
12535,1,2,716.35,0.0
12537,318,1,732.94,0.0
12538,287,1,276.5,1.0
12539,171,6,10164.09,1.0
12540,1,27,18101.11,1.0
12541,82,2,536.14,1.0
12542,393,2,481.88,0.0
12543,357,1,980.25,0.0
12545,169,1,628.15,1.0
12547,107,3,383.58,0.0
12548,75,1,95.19999999999999,0.0
12549,485,6,1575.68,0.0
12551,267,1,168.0,0.0
12553,19,9,3336.06,1.0
12554,358,1,468.5,0.0
12555,591,1,129.23,0.0
12556,60,1,312.9,1.0
12557,67,7,15726.14,1.0
12559,220,2,561.71,0.0
12560,21,2,1436.31,1.0
12561,212,1,238.85,0.0
12562,36,5,2790.41,1.0
12563,318,1,249.24,0.0
12564,170,1,456.9,0.0
12565,198,1,145.92,0.0
12567,5,14,12158.56,1.0
12568,554,1,70.0,0.0
12569,1,15,2167.68,1.0
12570,591,1,77.52,0.0
12571,31,1,248.35,1.0
12573,136,5,717.41,0.0
12574,225,1,218.45,0.0
12575,366,2,622.8199999999999,0.0
12576,5,7,1763.44,1.0
12577,268,6,1191.84,1.0
12578,239,3,3456.6,1.0
12580,156,2,1052.9,0.0
12582,148,4,1980.4,0.0
12583,16,21,11398.27,1.0
12584,36,4,782.59,1.0
12585,143,2,2040.1,0.0
12586,284,3,1865.73,1.0
12588,308,3,743.88,1.0
12589,54,7,4180.48,1.0
12590,120,2,9864.26,0.0
12591,226,3,1352.15,0.0
12592,1,5,2582.66,0.0
12593,18,3,418.09999999999997,0.0
12594,30,13,4281.79,1.0
12595,414,1,299.02,0.0
12596,151,1,269.95,1.0
12597,92,2,1428.81,1.0
12598,71,7,3095.39,1.0
12599,36,12,2121.18,1.0
12600,22,19,4381.4400000000005,1.0
12601,99,6,681.26,0.0
12604,171,1,178.5,1.0
12605,285,4,1232.95,0.0
12606,591,1,21.0,0.0
12608,314,1,415.79,0.0
12609,95,8,3109.7400000000002,1.0
12610,15,2,1256.25,1.0
12613,107,9,4953.21,1.0
12614,187,1,315.6,0.0
12615,77,5,4084.53,1.0
12616,4,3,1131.1,0.0
12619,25,6,2227.6,1.0
12620,114,1,561.66,1.0
12621,9,30,21281.18,1.0
12622,141,1,180.1,0.0
12623,185,7,3747.84,0.0
12624,15,2,641.13,0.0
12625,121,4,5164.88,0.0
12626,22,6,4774.0,1.0
12627,5,5,2727.83,1.0
12629,295,2,1558.22,0.0
12631,365,5,2841.07,1.0
12632,430,2,804.88,0.0
12633,39,6,5462.93,1.0
12634,445,2,490.0,0.0
12635,64,3,1924.87,1.0
12636,648,1,141.0,0.0
12637,1,11,7981.91,1.0
12638,549,1,249.8,1.0
12639,148,3,1312.37,0.0
12641,24,1,185.9,0.0
12642,17,1,366.45,1.0
12643,37,12,8350.42,0.0
12644,39,4,1918.49,0.0
12645,19,7,3074.98,1.0
12647,35,33,17088.24,1.0
12648,64,4,1112.0,0.0
12649,16,8,2294.65,0.0
12651,244,4,377.75,0.0
12652,240,2,1017.03,0.0
12653,58,3,4160.83,0.0
12654,107,3,337.75,1.0
12655,333,1,261.35,0.0
12656,25,6,5177.33,1.0
12661,345,1,162.0,0.0
12662,16,16,5791.900000000001,1.0
12663,534,2,239.4,0.0
12664,53,5,3145.64,1.0
12665,234,3,313.6,0.0
12666,303,1,1248.42,0.0
12668,168,9,10562.0,1.0
12669,60,3,2744.0299999999997,0.0
12670,8,5,2398.71,1.0
12671,515,1,2622.481,0.0
12672,239,2,437.05,0.0
12673,236,2,840.4,1.0
12674,1,3,1402.0,1.0
12675,463,2,958.5,0.0
12676,33,9,2509.75,1.0
12677,464,2,395.1,0.0
12678,10,18,24934.98,1.0
12679,115,2,906.38,1.0
12680,22,1,311.78,1.0
12681,61,38,26947.32,1.0
12682,10,41,19965.61,1.0
12683,2,18,10842.4,1.0
12684,80,4,1379.48,1.0
12685,2,2,1606.42,1.0
12686,281,1,178.28,0.0
12687,390,2,2138.91,0.0
12688,23,1,4873.8099999999995,0.0
12689,37,1,511.03,1.0
12690,115,1,389.01,0.0
12691,54,5,690.9,1.0
12692,546,1,110.95,0.0
12693,36,7,1703.02,0.0
12694,92,2,1413.18,1.0
12695,16,5,1158.92,1.0
12696,344,2,851.91,0.0
12697,40,2,733.91,1.0
12698,499,1,339.75,0.0
12699,327,1,638.11,0.0
12700,65,2,2149.05,1.0
12701,151,5,1985.78,1.0
12703,542,3,722.98,1.0
12704,15,3,1100.92,1.0
12705,67,9,9056.33,1.0
12707,201,1,603.42,0.0
12708,11,15,4632.96,1.0
12709,5,30,28587.61,1.0
12710,6,3,1149.02,0.0
12711,521,2,1339.05,0.0
12712,16,19,6710.610000000001,1.0
12714,16,11,12774.55,1.0
12715,15,1,353.86,0.0
12716,42,1,677.9,1.0
12717,60,3,1308.91,0.0
12720,3,22,6168.78,1.0
12721,92,6,3055.86,1.0
12722,24,3,929.65,1.0
12724,82,5,1566.47,1.0
12725,280,4,2694.56,0.0
12726,94,9,2872.82,1.0
12727,4,9,5036.53,1.0
12728,166,4,851.15,1.0
12729,23,1,453.01,0.0
12730,431,1,829.25,0.0
12731,53,13,18204.05,1.0
12732,89,1,236.26000000000002,0.0
12733,143,4,2424.87,0.0
12734,262,3,639.65,0.0
12735,224,2,779.5699999999999,0.0
12736,242,1,234.0,0.0
12737,408,2,3710.5,0.0
12738,281,1,310.7,0.0
12739,8,3,2689.23,1.0
12741,438,2,406.07,0.0
12742,535,1,1201.52,0.0
12743,43,2,546.43,0.0
12744,54,9,18249.74,1.0
12745,396,3,925.41,0.0
12746,450,1,254.55,0.0
12747,19,23,7849.93,1.0
12748,0,259,36987.41,1.0
12749,40,7,5561.71,1.0
12750,38,1,275.88,0.0
12751,354,1,268.27,0.0
12753,45,5,16620.91,1.0
12754,145,3,3010.74,0.0
12755,190,11,9030.66,0.0
12757,52,7,5281.08,1.0
12758,26,7,9903.24,0.0
12759,81,7,4571.82,1.0
12760,365,1,347.8,0.0
12761,367,2,782.95,0.0
12763,47,2,814.16,0.0
12764,226,1,1693.88,0.0
12765,381,6,1404.58,0.0
12766,58,7,8030.84,1.0
12767,285,1,949.82,0.0
12768,360,1,168.69000000000003,0.0
12769,148,1,1143.6,0.0
12770,120,2,3246.45,0.0
12771,395,1,282.3,0.0
12773,473,1,124.25,0.0
12774,445,1,98.7,0.0
12775,99,6,1464.76,1.0
12776,577,1,55.5,0.0
12777,367,1,519.45,0.0
12778,92,7,1445.51,1.0
12779,99,13,5740.32,1.0
12780,508,1,337.4,0.0
12781,194,1,549.26,1.0
12782,59,10,4365.99,1.0
12784,438,1,1230.33,1.0
12785,273,3,1100.4,0.0
12786,519,1,728.5,0.0
12787,1,3,743.18,1.0
12788,372,4,444.9,0.0
12789,422,2,181.5,1.0
12790,101,2,591.85,0.0
12791,283,6,1056.1100000000001,0.0
12792,166,2,827.01,0.0
12793,244,3,1017.33,0.0
12794,8,1,317.0,1.0
12796,537,1,381.0,0.0
12797,275,2,806.11,0.0
12798,80,2,3140.93,1.0
12799,438,1,219.35,0.0
12800,379,3,584.25,0.0
12801,410,1,1071.82,0.0
12802,96,7,2416.42,0.0
12803,302,1,1092.81,0.0
12804,375,2,327.02,0.0
12805,291,4,1434.95,0.0
12806,344,4,2878.96,0.0
12807,292,1,330.35,0.0
12808,94,4,703.8000000000001,1.0
12809,87,3,1755.94,0.0
12810,444,2,534.99,0.0
12811,170,5,1033.9,0.0
12813,411,3,1687.8,0.0
12814,11,1,125.92,0.0
12815,57,2,1063.46,0.0
12816,5,2,572.2,0.0
12817,190,3,690.98,0.0
12818,171,1,1542.08,0.0
12819,367,1,540.52,0.0
12820,236,8,1917.64,1.0
12821,123,2,220.8,0.0
12823,36,17,5966.0,1.0
12825,430,2,518.63,0.0
12826,88,9,2299.65,1.0
12828,8,3,415.51,1.0
12829,246,3,385.3,0.0
12830,0,5,6414.32,1.0
12831,171,3,451.11,0.0
12832,7,1,267.8,1.0
12833,54,1,417.38,0.0
12834,192,1,312.38,0.0
12835,337,41,6043.31,0.0
12836,46,14,6085.29,1.0
12837,82,2,688.41,0.0
12838,283,9,3106.14,1.0
12839,1,21,7577.7,1.0
12840,53,7,4041.97,0.0
12841,16,32,6369.77,1.0
12842,218,3,1109.73,1.0
12843,69,29,6578.46,1.0
