Customer ID,Recency,Frequency,Monetary,Segment,SegmentName
12346,325,12,77556.46,1,VIP Loyalists
12347,1,8,5633.32,1,VIP Loyalists
12348,74,5,2019.4,1,VIP Loyalists
12349,18,4,4428.69,1,VIP Loyalists
12350,309,1,334.4,0,At-Risk Customers
12351,374,1,300.93,0,At-Risk Customers
12352,35,10,2849.84,1,VIP Loyalists
12353,203,2,406.76,1,VIP Loyalists
12354,231,1,1079.4,1,VIP Loyalists
12355,213,2,947.61,1,VIP Loyalists
12356,22,6,6373.68,1,VIP Loyalists
12357,32,3,18287.66,1,VIP Loyalists
12358,1,5,3887.07,1,VIP Loyalists
12359,57,10,8935.94,1,VIP Loyalists
12360,51,8,4252.89,1,VIP Loyalists
12361,286,4,511.25,0,At-Risk Customers
12362,2,11,5356.23,1,VIP Loyalists
12363,109,2,552.0,1,VIP Loyalists
12364,7,4,1313.1,1,VIP Loyalists
12365,290,2,641.38,0,At-Risk Customers
12366,633,1,500.24,0,At-Risk Customers
12367,3,1,168.9,1,VIP Loyalists
12368,627,1,917.7,0,At-Risk Customers
12369,412,3,1791.15,0,At-Risk Customers
12370,50,7,4320.31,1,VIP Loyalists
12371,44,5,4067.38,1,VIP Loyalists
12372,71,3,1298.04,1,VIP Loyalists
12373,310,3,1127.65,0,At-Risk Customers
12374,24,4,2989.2200000000003,1,VIP Loyalists
12375,10,2,457.5,1,VIP Loyalists
12376,389,2,503.15,0,At-Risk Customers
12377,314,4,3426.32,0,At-Risk Customers
12378,129,2,5416.32,1,VIP Loyalists
12379,81,4,1620.22,1,VIP Loyalists
12380,21,11,9676.3,1,VIP Loyalists
12381,4,5,1845.31,1,VIP Loyalists
12383,184,5,1850.56,1,VIP Loyalists
12384,28,2,585.27,1,VIP Loyalists
12385,378,1,1938.4,0,At-Risk Customers
12386,337,2,660.8,0,At-Risk Customers
12387,414,1,143.94,0,At-Risk Customers
12388,15,8,3901.11,1,VIP Loyalists
12389,402,3,1433.33,0,At-Risk Customers
12390,79,1,549.84,1,VIP Loyalists
12391,21,6,2773.42,1,VIP Loyalists
12392,590,1,234.75000000000003,0,At-Risk Customers
12393,71,6,2399.4500000000003,1,VIP Loyalists
12394,63,2,1272.48,1,VIP Loyalists
12395,18,15,5067.27,1,VIP Loyalists
12396,673,1,931.43,0,At-Risk Customers
12397,35,2,2409.9,1,VIP Loyalists
12398,45,1,1635.66,1,VIP Loyalists
12399,118,7,1962.3,1,VIP Loyalists
12400,413,1,205.25,0,At-Risk Customers
12401,302,1,84.3,0,At-Risk Customers
12402,322,6,1256.9,0,At-Risk Customers
12403,49,2,1019.36,1,VIP Loyalists
12404,681,1,63.24,0,At-Risk Customers
12405,148,1,1710.39,1,VIP Loyalists
12406,21,5,6390.36,1,VIP Loyalists
12407,49,5,1708.12,1,VIP Loyalists
12408,32,8,4340.77,1,VIP Loyalists
12409,78,7,23419.29,1,VIP Loyalists
12410,308,3,1013.71,0,At-Risk Customers
12411,409,1,346.9,0,At-Risk Customers
12412,74,6,2596.93,1,VIP Loyalists
12413,66,4,999.45,1,VIP Loyalists
12414,216,6,952.41,1,VIP Loyalists
12415,23,28,144458.37,2,Regular Customers
12416,656,1,202.56,0,At-Risk Customers
12417,2,20,6816.91,1,VIP Loyalists
12418,112,4,2021.2,1,VIP Loyalists
12419,385,2,503.01,0,At-Risk Customers
12420,63,1,600.39,1,VIP Loyalists
12421,15,6,1098.6,1,VIP Loyalists
12422,95,17,5231.8,1,VIP Loyalists
12423,0,10,2622.39,1,VIP Loyalists
12424,162,4,3340.03,1,VIP Loyalists
12425,77,2,1741.41,1,VIP Loyalists
12426,194,2,1345.21,1,VIP Loyalists
12427,21,3,1129.3,1,VIP Loyalists
12428,25,9,7956.46,1,VIP Loyalists
12429,8,8,7485.91,1,VIP Loyalists
12430,42,1,256.4,1,VIP Loyalists
12431,35,27,10857.97,1,VIP Loyalists
12432,42,5,5059.32,1,VIP Loyalists
12433,0,10,20581.26,1,VIP Loyalists
12434,84,3,1103.43,1,VIP Loyalists
12435,79,6,13925.93,1,VIP Loyalists
12436,99,1,509.01,1,VIP Loyalists
12437,1,39,12683.4,1,VIP Loyalists
12438,13,2,2906.85,1,VIP Loyalists
12439,682,2,1158.18,0,At-Risk Customers
12440,461,2,859.2,0,At-Risk Customers
12441,366,1,347.1,0,At-Risk Customers
12442,2,1,172.06,1,VIP Loyalists
12443,731,1,485.31,0,At-Risk Customers
12444,20,5,5005.46,1,VIP Loyalists
12445,21,2,434.98,1,VIP Loyalists
12446,57,1,1002.31,1,VIP Loyalists
12447,242,1,476.49,1,VIP Loyalists
12448,43,1,449.45,1,VIP Loyalists
12449,21,6,4835.89,1,VIP Loyalists
12450,155,5,688.2,1,VIP Loyalists
12451,10,8,12669.88,1,VIP Loyalists
12452,16,2,430.57,1,VIP Loyalists
12453,133,1,707.09,1,VIP Loyalists
12454,55,5,16679.78,1,VIP Loyalists
12455,72,10,5879.95,1,VIP Loyalists
12456,43,3,3181.04,1,VIP Loyalists
12457,65,8,2995.91,1,VIP Loyalists
12458,70,4,1777.49,1,VIP Loyalists
12459,604,1,454.36,0,At-Risk Customers
12460,455,1,326.65,0,At-Risk Customers
12461,93,2,826.88,1,VIP Loyalists
12462,18,2,1189.59,1,VIP Loyalists
12463,52,4,1344.78,1,VIP Loyalists
12464,9,8,1212.05,1,VIP Loyalists
12465,16,2,742.1899999999999,1,VIP Loyalists
